Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
reserve,Edge Chromium 122,,,21-03-2024 13:59:05,21-03-2024 13:59:50,44.556s,FAILED
,,,,,,,
Test Cases/managereserve/managereserve01,Edge Chromium 122,Prueba si se pueden crear nuevas reservas,,21-03-2024 13:59:05,21-03-2024 13:59:19,13.559s,FAILED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 13:59:06,21-03-2024 13:59:09,3.103s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 13:59:09,21-03-2024 13:59:09,0.614s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 13:59:09,21-03-2024 13:59:10,0.608s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), ""gege"")",Edge Chromium 122,,,21-03-2024 13:59:10,21-03-2024 13:59:11,0.930s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""tzH6RvlfSTg="")",Edge Chromium 122,,,21-03-2024 13:59:11,21-03-2024 13:59:11,0.343s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 13:59:11,21-03-2024 13:59:12,0.555s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 13:59:12,21-03-2024 13:59:13,1.083s,PASSED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 13:59:13,21-03-2024 13:59:13,0.298s,PASSED
"setText(findTestObject(""Object Repository/input_Date_date""), fecha)",Edge Chromium 122,,,21-03-2024 13:59:13,21-03-2024 13:59:14,1.014s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneMilano""), restaurante, true)",Edge Chromium 122,,,21-03-2024 13:59:14,21-03-2024 13:59:15,0.823s,PASSED
"selectOptionByValue(findTestObject(""select_Select OneOrder 1 - Capacity 1Order 2 - Capacity 2Order 3 - Capacity 3Order 4 - Capacity 4""), mesa, true)",Edge Chromium 122,,,21-03-2024 13:59:15,21-03-2024 13:59:16,1.081s,PASSED
"click(findTestObject(""Object Repository/button_Create Reservation""))",Edge Chromium 122,,,21-03-2024 13:59:16,21-03-2024 13:59:17,0.512s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/div_Reservation Created""), 1)",Edge Chromium 122,,,21-03-2024 13:59:17,21-03-2024 13:59:19,2.317s,FAILED
,,,,,,,
Test Cases/managereserve/managereserve01,Edge Chromium 122,Prueba si se pueden crear nuevas reservas,,21-03-2024 13:59:19,21-03-2024 13:59:30,11.227s,PASSED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 13:59:19,21-03-2024 13:59:22,2.508s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 13:59:22,21-03-2024 13:59:22,0.656s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 13:59:22,21-03-2024 13:59:23,0.545s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), ""gege"")",Edge Chromium 122,,,21-03-2024 13:59:23,21-03-2024 13:59:24,0.910s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), ""tzH6RvlfSTg="")",Edge Chromium 122,,,21-03-2024 13:59:24,21-03-2024 13:59:24,0.311s,PASSED
"click(findTestObject(""Object Repository/button_Log In""))",Edge Chromium 122,,,21-03-2024 13:59:24,21-03-2024 13:59:24,0.517s,PASSED
"verifyElementPresent(findTestObject(""SeeIfloged""), 1)",Edge Chromium 122,,,21-03-2024 13:59:24,21-03-2024 13:59:26,1.095s,PASSED
"click(findTestObject(""Object Repository/a_Add Reservation""))",Edge Chromium 122,,,21-03-2024 13:59:26,21-03-2024 13:59:26,0.311s,PASSED
