Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
crear5usuarios,Edge Chromium 122,,,21-03-2024 14:29:10,21-03-2024 14:30:10,1m - 0.319s,FAILED
,,,,,,,
Test Cases/newuser/newuser01,Edge Chromium 122,Creacion de usuario,,21-03-2024 14:29:10,21-03-2024 14:29:23,13.037s,FAILED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:29:10,21-03-2024 14:29:14,3.607s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:29:14,21-03-2024 14:29:14,0.681s,PASSED
"click(findTestObject(""Object Repository/a_Sign Up""))",Edge Chromium 122,,,21-03-2024 14:29:14,21-03-2024 14:29:15,0.552s,PASSED
"setText(findTestObject(""Object Repository/input_Name_name""), name)",Edge Chromium 122,,,21-03-2024 14:29:15,21-03-2024 14:29:16,0.895s,PASSED
"setText(findTestObject(""Object Repository/input_Last Name_lastName""), lastname)",Edge Chromium 122,,,21-03-2024 14:29:16,21-03-2024 14:29:16,0.566s,PASSED
"setText(findTestObject(""Object Repository/input_Phone_phone""), phone)",Edge Chromium 122,,,21-03-2024 14:29:16,21-03-2024 14:29:17,0.636s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), email)",Edge Chromium 122,,,21-03-2024 14:29:17,21-03-2024 14:29:18,0.640s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), username)",Edge Chromium 122,,,21-03-2024 14:29:18,21-03-2024 14:29:18,0.570s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), password)",Edge Chromium 122,,,21-03-2024 14:29:18,21-03-2024 14:29:19,0.332s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Confirm Password_confirmPassword""), password)",Edge Chromium 122,,,21-03-2024 14:29:19,21-03-2024 14:29:19,0.530s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneUserRestaurant""), ""user"", true)",Edge Chromium 122,,,21-03-2024 14:29:19,21-03-2024 14:29:20,1.045s,PASSED
"click(findTestObject(""button_Create Acccount""))",Edge Chromium 122,,,21-03-2024 14:29:20,21-03-2024 14:29:21,0.292s,PASSED
